Player,Season,TEAM,AGE,GP,MIN,Box Outs,OFF Box Outs,DEF Box Outs,Team Reb on Box Outs,Player Reb on Box Outs,% Box Outs Off,% Box Outs Def,% Team Reb When Box Out,% Player Reb When Box Out
Tremont Waters,2019,BOS,22,10,8.9,0.3,0,0.3,0.3,0,0,100,100,0
Trae Young,2019,ATL,21,60,35.3,0.2,0,0.2,0.2,0.1,7.7,92.3,100,50
Torrey Craig,2019,DEN,29,50,17.4,0.4,0.1,0.3,0.2,0.1,27.8,72.2,85.7,35.7
Tony Snell,2019,DET,28,59,27.8,1.6,0,1.6,0.6,0.1,0,100,84.4,13.3
Tony Bradley,2019,UTA,22,50,10.7,2.4,0.5,2,1.6,0.9,19.7,80.3,91.9,52.3
Tomas Satoransky,2019,CHI,28,65,28.9,1.1,0.1,1,0.5,0.1,10,90,89.7,23.1
Tobias Harris,2019,PHI,27,65,34.5,2.1,0.3,1.8,1.3,0.5,14.7,85.3,92,37.5
Timothe Luwawu-Cabarrot,2019,BKN,25,39,17.2,1.5,0.1,1.4,0.9,0.2,3.4,96.6,89.5,21.1
Tim Hardaway Jr.,2019,DAL,28,63,28.8,0.6,0,0.6,0.4,0.1,5,95,92.3,26.9
Tim Frazier,2019,DET,29,27,13.1,0.3,0,0.3,0.3,0,0,100,87.5,12.5
Thon Maker,2019,DET,23,60,12.9,1.9,0.2,1.8,0.9,0.2,9.4,90.6,86.7,23.3
Thomas Bryant,2019,WAS,22,38,23.7,3.5,0.4,3,1.8,0.8,11.5,88.5,88.6,40.5
Theo Pinson,2019,BKN,24,33,11.1,0.5,0,0.5,0.4,0.1,5.9,94.1,85.7,21.4
Thanasis Antetokounmpo,2019,MIL,27,18,5.2,0.1,0,0.1,0,0,0,100,0,0
Thaddeus Young,2019,CHI,31,64,24.9,2,0.4,1.6,0.9,0.5,19.4,80.6,88.2,42.6
Thabo Sefolosha,2019,HOU,36,41,10.6,1.5,0,1.5,0.7,0.2,1.6,98.4,82.9,25.7
Terry Rozier,2019,CHA,26,63,34.4,0.4,0,0.4,0.2,0.1,7.1,92.9,75,15
Terrence Ross,2019,ORL,29,63,27.4,0.8,0,0.8,0.5,0.1,0,100,81.1,21.6
Terrance Ferguson,2019,OKC,22,50,23.4,0.5,0,0.5,0.3,0,3.8,96.2,76.5,5.9
Terence Davis,2019,TOR,23,64,17,0.4,0,0.4,0.2,0.1,3.8,96.2,83.3,38.9
Terance Mann,2019,LAC,23,35,7.7,0.2,0,0.2,0.1,0,0,100,100,0
Taurean Prince,2019,BKN,26,64,29,1.8,0,1.8,1.1,0.3,1.7,98.3,93.1,30.6
Tariq Owens,2019,PHX,24,3,5.1,0,0,0,0,0,0,0,0,0
Talen Horton-Tucker,2019,LAL,19,2,2.7,0,0,0,0,0,0,0,0,0
Taj Gibson,2019,NYK,34,62,16.5,3.5,0.6,2.9,1.8,0.7,17.3,82.7,86.9,35.4
Tacko Fall,2019,BOS,24,6,4,0.8,0,0.8,0.7,0.5,0,100,100,75
TJ Leaf,2019,IND,23,25,7.7,0.9,0.2,0.8,0.5,0.2,17.4,82.6,92.9,42.9
T.J. Warren,2019,IND,26,61,32.5,0.9,0.1,0.8,0.5,0.1,7.1,92.9,93.3,30
T.J. McConnell,2019,IND,28,63,18.9,0.3,0,0.3,0.2,0.1,0,100,86.7,26.7
Svi Mykhailiuk,2019,DET,22,56,22.6,0.6,0,0.6,0.3,0,0,100,81.8,4.5
Steven Adams,2019,OKC,26,58,27,5,1.2,3.8,2.9,1.4,23.4,76.6,88.9,44.2
Sterling Brown,2019,MIL,25,45,14.8,0.7,0.1,0.7,0.5,0.1,9.1,90.9,87.5,25
Stephen Curry,2019,GSW,32,5,27.9,0.6,0.2,0.4,0,0,33.3,66.7,0,0
Stanton Kidd,2019,UTA,28,4,3.8,0,0,0,0,0,0,0,0,0
Stanley Johnson,2019,TOR,24,20,4.8,0.3,0,0.3,0.2,0.1,0,100,100,25
Spencer Dinwiddie,2019,BKN,27,64,31.2,0.9,0,0.9,0.6,0.1,1.6,98.4,90.7,16.3
Solomon Hill,2019,MIA,29,54,18.4,1.8,0.1,1.7,0.9,0.2,5.1,94.9,90.9,23.6
Skal Labissiere,2019,ATL,24,33,17.2,2.7,0.5,2.2,1.4,0.4,16.9,83.1,88.9,25.9
Shaquille Harrison,2019,CHI,26,43,11.3,0.3,0.1,0.3,0.2,0.1,21.4,78.6,100,25
Shamorie Ponds,2019,TOR,21,4,2.6,0,0,0,0,0,0,0,0,0
Shake Milton,2019,PHI,23,32,19.1,0.3,0,0.3,0.2,0,0,100,62.5,12.5
Shai Gilgeous-Alexander,2019,OKC,21,63,35.1,0.7,0,0.7,0.4,0.2,0,100,96.2,38.5
Shabazz Napier,2019,WAS,28,51,24.2,0.6,0,0.6,0.4,0.1,3.3,96.7,87.5,12.5
Seth Curry,2019,DAL,29,59,24.5,0.3,0,0.3,0.2,0.1,0,100,85.7,35.7
Serge Ibaka,2019,TOR,30,50,27.5,5.8,0.6,5.2,3.4,1.6,10.6,89.4,92.9,43.4
Semi Ojeleye,2019,BOS,25,61,14.6,1.4,0,1.4,0.7,0.2,2.3,97.7,78.4,23.5
Sekou Doumbouya,2019,DET,19,38,19.8,1.1,0.1,1.1,0.5,0.2,4.7,95.3,81.8,27.3
Ryan Broekhoff,2019,DAL,29,17,10.6,1,0.1,0.9,0.6,0.3,5.9,94.1,83.3,50
Ryan Arcidiacono,2019,CHI,26,58,16,0.3,0,0.3,0.2,0,10,90,75,8.3
Ryan Anderson,2019,HOU,32,2,7,1,0,1,0.5,0,0,100,100,0
Russell Westbrook,2019,HOU,31,53,35.9,0.7,0.1,0.6,0.4,0.3,8.3,91.7,85.2,48.1
Rui Hachimura,2019,WAS,22,41,29.7,2.8,0.1,2.7,1.5,0.6,4.4,95.6,88.4,34.8
Rudy Gobert,2019,UTA,27,62,34.6,4.9,1,3.9,3.1,1.9,20,80,94.5,58.2
